Library Name,API Name,Padding Type
keras,keras.backend.conv2d,Valid Padding
keras,keras.backend.depthwise_conv2d,Valid Padding
keras,keras.layers.AtrousConvolution1D,Valid Padding
keras,keras.layers.AtrousConvolution2D,Valid Padding
keras,keras.layers.Conv1D,Valid Padding
keras,keras.layers.Conv2D,Valid Padding
keras,keras.layers.Conv2DTranspose,Valid Padding
keras,keras.layers.Conv3D,Valid Padding
keras,keras.layers.Conv3DTranspose,Valid Padding
keras,keras.layers.Convolution1D,Valid Padding
keras,keras.layers.Convolution2D,Valid Padding
keras,keras.layers.Convolution3D,Valid Padding
keras,keras.layers.convolutional.Conv1D,Valid Padding
keras,keras.layers.convolutional.Conv2D,Valid Padding
keras,keras.layers.convolutional.Conv2DTranspose,Valid Padding
keras,keras.layers.convolutional.Conv3D,Valid Padding
keras,keras.layers.convolutional.Convolution1D,Valid Padding
keras,keras.layers.convolutional.Convolution2D,Valid Padding
keras,keras.layers.convolutional.Convolution3D,Valid Padding
keras,keras.layers.convolutional.Deconvolution2D,Valid Padding
keras,keras.layers.Deconvolution2D,Valid Padding
keras,keras.layers.Deconvolution3D,Valid Padding
keras,keras.layers.SeparableConv2D,Valid Padding
keras,keras.layers.SeparableConvolution2D,Valid Padding
tensorflow,tensorflow.compat.v1.layers.conv2d,Valid Padding
tensorflow,tensorflow.compat.v1.nn.conv2d,None Padding
tensorflow,tensorflow.compat.v1.nn.conv2d_transpose,Same Padding
tensorflow,tensorflow.contrib.keras.layers.Conv2D,Valid Padding
tensorflow,tensorflow.contrib.layers.conv2d,Same Padding
tensorflow,tensorflow.contrib.layers.conv2d_transpose,Same Padding
tensorflow,tensorflow.contrib.layers.convolution2d,Valid Padding
tensorflow,tensorflow.contrib.layers.convolution2d_transpose,Valid Padding
tensorflow,tensorflow.contrib.layers.separable_conv2d,Same Padding
tensorflow,tensorflow.contrib.slim.conv2d,Same Padding
tensorflow,tensorflow.contrib.slim.conv2d_transpose,Valid Padding
tensorflow,tensorflow.contrib.slim.convolution,Valid Padding
tensorflow,tensorflow.contrib.slim.convolution2d,Valid Padding
tensorflow,tensorflow.contrib.slim.layers.conv2d,Same Padding
tensorflow,tensorflow.contrib.slim.layers.conv2d_transpose,Valid Padding
tensorflow,tensorflow.contrib.slim.ops.conv2d,Same Padding
tensorflow,tensorflow.contrib.slim.separable_conv2d,Valid Padding
tensorflow,tensorflow.keras.layers.Conv1D,Valid Padding
tensorflow,tensorflow.keras.layers.Conv2D,Valid Padding
tensorflow,tensorflow.keras.layers.Conv2DTranspose,Valid Padding
tensorflow,tensorflow.keras.layers.Conv3D,Valid Padding
tensorflow,tensorflow.keras.layers.Convolution2D,Valid Padding
tensorflow,tensorflow.keras.layers.DepthwiseConv2D,Valid Padding
tensorflow,tensorflow.keras.layers.SeparableConv2D,Valid Padding
tensorflow,tensorflow.layers.conv1d,Valid Padding
tensorflow,tensorflow.layers.conv2d,Valid Padding
tensorflow,tensorflow.layers.Conv2D,Valid Padding
tensorflow,tensorflow.layers.conv2d_transpose,Valid Padding
tensorflow,tensorflow.layers.Conv2DTranspose,Valid Padding
tensorflow,tensorflow.layers.conv3d,Valid Padding
tensorflow,tensorflow.layers.separable_conv2d,Valid Padding
tensorflow,tensorflow.nn.atrous_conv2d,None Padding
tensorflow,tensorflow.nn.conv1d,None Padding
tensorflow,tensorflow.nn.conv2d,None Padding
tensorflow,tensorflow.nn.conv2d_transpose,Same Padding
tensorflow,tensorflow.nn.conv3d,None Padding
tensorflow,tensorflow.nn.conv3d_transpose,Same Padding
tensorflow,tensorflow.nn.convolution,Valid Padding
tensorflow,tensorflow.nn.deconv2d,Same Padding
tensorflow,tensorflow.nn.depthwise_conv2d,None Padding
tensorflow,tensorflow.nn.dilation2d,None Padding
tensorflow,tensorflow.nn.separable_conv2d,None Padding
tensorflow,tensorflow.python.keras.layers.Conv2D,Valid Padding
tensorflow,tensorflow.python.keras.layers.Conv2DTranspose,Valid Padding
torch,torch._C._functions.ConvNd,Valid Padding
torch,torch.nn._functions.conv.ConvNd,Valid Padding
torch,torch.nn.Conv1d,Valid Padding
torch,torch.nn.Conv2d,Valid Padding
torch,torch.nn.Conv3d,Valid Padding
torch,torch.nn.ConvTranspose1d,Valid Padding
torch,torch.nn.ConvTranspose2d,Valid Padding
torch,torch.nn.ConvTranspose3d,Valid Padding
torch,torch.nn.functional.conv_transpose1d,Valid Padding
torch,torch.nn.functional.conv_transpose2d,Valid Padding
torch,torch.nn.functional.conv1d,Valid Padding
torch,torch.nn.functional.conv2d,Valid Padding
torch,torch.nn.functional.conv3d,Valid Padding
torch,torch.nn.functions.conv.ConvNd,Valid Padding
torch,torch.nn.modules.conv.Conv2d,Valid Padding