API Name,Parameter ID,Change Type
keras.layers.BatchNormalization,axis,Layer Dimension
keras.layers.concatenate,axis,Layer Dimension
keras.layers.Conv1D,0,Layer Dimension
keras.layers.Conv1D,filters,Layer Dimension
keras.layers.Conv2D,0,Layer Dimension
keras.layers.Conv2D,filters,Layer Dimension
keras.layers.Conv2D,input_shape,Layer Dimension
keras.layers.Conv3D,0,Layer Dimension
keras.layers.Convolution2D,0,Layer Dimension
keras.layers.convolutional.Conv2D,0,Layer Dimension
keras.layers.convolutional.Convolution2D,0,Layer Dimension
keras.layers.core.Dense,0,Layer Dimension
keras.layers.core.Reshape,0,Layer Dimension
keras.layers.Dense,0,Layer Dimension
keras.layers.Dense,0,Layer Dimension
keras.layers.Dense,0,Layer Dimension
keras.layers.Dense,0,Layer Dimension
keras.layers.Dense,0,Layer Dimension
keras.layers.Dense,0,Layer Dimension
keras.layers.Dense,units,Layer Dimension
keras.layers.Dense,input_dim,Layer Dimension
keras.layers.Dense,input_shape,Layer Dimension
keras.layers.Embedding,input_length,Layer Dimension
keras.layers.Embedding,1,Layer Dimension
keras.layers.Embedding,output_dim,Layer Dimension
keras.layers.Embedding,0,Layer Dimension
keras.layers.Embedding,input_dim,Layer Dimension
keras.layers.embeddings.Embedding,1,Layer Dimension
keras.layers.Input,shape,Layer Dimension
keras.layers.Input,shape,Layer Dimension
keras.layers.Input,0,Layer Dimension
keras.layers.Lambda,output_shape,Layer Dimension
keras.layers.normalization.BatchNormalization,axis,Layer Dimension
keras.layers.Reshape,0,Layer Dimension
tensorflow.keras.Input,shape,Layer Dimension
tensorflow.keras.layers.Conv2D,0,Layer Dimension
tensorflow.keras.layers.Conv2D,filters,Layer Dimension
tensorflow.keras.layers.Dense,0,Layer Dimension
tensorflow.keras.layers.Dense,0,Layer Dimension
tensorflow.keras.layers.Dense,units,Layer Dimension
tensorflow.keras.layers.Embedding,0,Layer Dimension
tensorflow.keras.layers.Embedding,1,Layer Dimension
tensorflow.keras.layers.Input,shape,Layer Dimension
tensorflow.keras.layers.Reshape,0,Layer Dimension
tensorflow.layers.batch_normalization,0,Layer Dimension
tensorflow.layers.conv2d,0,Layer Dimension
tensorflow.layers.conv2d,filters,Layer Dimension
tensorflow.layers.dense,1,Layer Dimension
tensorflow.layers.dense,units,Layer Dimension
tensorflow.nn.conv2d_transpose,output_shape,Layer Dimension
tensorflow.nn.conv3d,1,Layer Dimension
torch.nn.BatchNorm1d,0,Layer Dimension
torch.nn.BatchNorm2d,0,Layer Dimension
torch.nn.Conv1d,0,Layer Dimension
torch.nn.Conv1d,1,Layer Dimension
torch.nn.Conv1d,in_channels,Layer Dimension
torch.nn.Conv1d,out_channels,Layer Dimension
torch.nn.Conv2d,0,Layer Dimension
torch.nn.Conv2d,0,Layer Dimension
torch.nn.Conv2d,0,Layer Dimension
torch.nn.Conv2d,0,Layer Dimension
torch.nn.Conv2d,0,Layer Dimension
torch.nn.Conv2d,0,Layer Dimension
torch.nn.Conv2d,0,Layer Dimension
torch.nn.Conv2d,0,Layer Dimension
torch.nn.Conv2d,0,Layer Dimension
torch.nn.Conv2d,0,Layer Dimension
torch.nn.Conv2d,0,Layer Dimension
torch.nn.Conv2d,0,Layer Dimension
torch.nn.Conv2d,1,Layer Dimension
torch.nn.Conv2d,1,Layer Dimension
torch.nn.Conv2d,1,Layer Dimension
torch.nn.Conv2d,1,Layer Dimension
torch.nn.Conv2d,1,Layer Dimension
torch.nn.Conv2d,1,Layer Dimension
torch.nn.Conv2d,1,Layer Dimension
torch.nn.Conv2d,1,Layer Dimension
torch.nn.Conv2d,1,Layer Dimension
torch.nn.Conv2d,1,Layer Dimension
torch.nn.Conv2d,out_channels,Layer Dimension
torch.nn.Conv2d,in_channels,Layer Dimension
torch.nn.Conv2d,groups,Layer Dimension
torch.nn.ConvTranspose2d,0,Layer Dimension
torch.nn.ConvTranspose2d,1,Layer Dimension
torch.nn.ConvTranspose2d,output_padding,Layer Dimension
torch.nn.ConvTranspose2d,in_channels,Layer Dimension
torch.nn.Embedding,0,Layer Dimension
torch.nn.Embedding,1,Layer Dimension
torch.nn.functional.affine_grid,0,Layer Dimension
torch.nn.functional.conv_transpose2d,1,Layer Dimension
torch.nn.functional.conv2d,0,Layer Dimension
torch.nn.functional.grid_sample,1,Layer Dimension
torch.nn.functional.interpolate,size,Layer Dimension
torch.nn.functional.interpolate,1,Layer Dimension
torch.nn.functional.linear,0,Layer Dimension
torch.nn.GRU,input_size,Layer Dimension
torch.nn.GRUCell,0,Layer Dimension
torch.nn.InstanceNorm2d,0,Layer Dimension
torch.nn.LayerNorm,0,Layer Dimension
torch.nn.Linear,0,Layer Dimension
torch.nn.Linear,0,Layer Dimension
torch.nn.Linear,0,Layer Dimension
torch.nn.Linear,0,Layer Dimension
torch.nn.Linear,0,Layer Dimension
torch.nn.Linear,0,Layer Dimension
torch.nn.Linear,0,Layer Dimension
torch.nn.Linear,0,Layer Dimension
torch.nn.Linear,0,Layer Dimension
torch.nn.Linear,1,Layer Dimension
torch.nn.Linear,1,Layer Dimension
torch.nn.Linear,1,Layer Dimension
torch.nn.Linear,1,Layer Dimension
torch.nn.Linear,1,Layer Dimension
torch.nn.Linear,1,Layer Dimension
torch.nn.Linear,1,Layer Dimension
torch.nn.Linear,1,Layer Dimension
torch.nn.Linear,in_features,Layer Dimension
torch.nn.Linear,out_features,Layer Dimension
torch.nn.LSTM,0,Layer Dimension
torch.nn.LSTM,input_size,Layer Dimension
torch.nn.LSTM,batch_first,Layer Dimension
torch.nn.functional.interpolate,0,Layer Dimension
torch.nn.functional.upsample,0,Layer Dimension
torch.nn.functional.normalize,0,Layer Dimension
keras.layers.Input,batch_shape,Layer Dimension
tensorflow.contrib.layers.fully_connected,inputs,Layer Dimension
tensorflow.nn.batch_normalization,0,Layer Dimension
torch.nn.Embedding,padding_idx,Layer Dimension
tensorflow.layers.conv2d_transpose,0,Layer Dimension
torch.nn.GRU,0,Layer Dimension
tensorflow.layers.max_pooling2d,inputs,Layer Dimension
tensorflow.layers.batch_normalization,inputs,Layer Dimension
torch.nn.functional.avg_pool2d,0,Layer Dimension
tensorflow.contrib.slim.conv2d_transpose,0,Layer Dimension
tensorflow.layers.conv1d,0,Layer Dimension
torch.nn.LSTMCell,0,Layer Dimension
tensorflow.layers.max_pooling2d,0,Layer Dimension
tensorflow.nn.rnn,1,Layer Dimension
tensorflow.contrib.slim.batch_norm,0,Layer Dimension
torch.nn.Conv3d,0,Layer Dimension
tensorflow.nn.depthwise_conv2d,0,Layer Dimension
torch.nn.BatchNorm2d,num_features,Layer Dimension
keras.layers.Dense,output_dim,Layer Dimension
keras.layers.core.Dense,units,Layer Dimension
tensorflow.nn.depthwise_conv2d,1,Layer Dimension
keras.layers.Convolution2D,input_shape,Layer Dimension
keras.Input,shape,Layer Dimension
keras.layers.convolutional.Convolution2D,input_shape,Layer Dimension
torch.nn.Conv3d,1,Layer Dimension
tensorflow.layers.average_pooling2d,inputs,Layer Dimension
tensorflow.layers.flatten,0,Layer Dimension
tensorflow.contrib.layers.fully_connected,num_outputs,Layer Dimension
keras.layers.Convolution2D,dim_ordering,Layer Dimension
keras.layers.embeddings.Embedding,input_length,Layer Dimension
torch.nn.BatchNorm3d,0,Layer Dimension
tensorflow.nn.conv2d,input,Layer Dimension
tensorflow.contrib.layers.max_pool2d,0,Layer Dimension
tensorflow.contrib.slim.layers.conv2d,0,Layer Dimension
keras.layers.recurrent.LSTM,output_dim,Layer Dimension
tensorflow.contrib.rnn.static_rnn,1,Layer Dimension
tensorflow.contrib.layers.linear,0,Layer Dimension
tensorflow.contrib.slim.conv2d,num_outputs,Layer Dimension
tensorflow.contrib.slim.separable_conv2d,0,Layer Dimension
tensorflow.contrib.seq2seq.BasicDecoder,output_layer,Layer Dimension
tensorflow.contrib.layers.convolution2d,0,Layer Dimension
torch.nn.functional.conv1d,0,Layer Dimension
tensorflow.nn.local_response_normalization,0,Layer Dimension
tensorflow.contrib.seq2seq.BasicDecoder,2,Layer Dimension
keras.layers.convolutional.Deconvolution2D,output_shape,Layer Dimension
tensorflow.keras.layers.Conv2D,data_format,Layer Dimension
tensorflow.contrib.layers.convolution2d_transpose,0,Layer Dimension
torch.nn.functional.conv_transpose2d,0,Layer Dimension
torch.nn.Conv3d,in_channels,Layer Dimension
torch.nn.Conv3d,out_channels,Layer Dimension
keras.layers.merge,concat_axis,Layer Dimension
tensorflow.layers.conv2d,data_format,Layer Dimension
tensorflow.layers.average_pooling2d,data_format,Layer Dimension
tensorflow.keras.Input,batch_shape,Layer Dimension
tensorflow.python.keras.layers.Input,shape,Layer Dimension
tensorflow.python.keras.Input,shape,Layer Dimension
torch.nn.ConvTranspose2d,out_channels,Layer Dimension
tensorflow.layers.batch_normalization,axis,Layer Dimension
tensorflow.nn.conv2d,data_format,Layer Dimension
tensorflow.keras.layers.BatchNormalization,axis,Layer Dimension
keras.layers.Conv3D,data_format,Layer Dimension
keras.engine.Input,shape,Layer Dimension
keras.layers.Reshape,target_shape,Layer Dimension
keras.layers.Concatenate,axis,Layer Dimension
keras.layers.LSTM,output_dim,Layer Dimension
tensorflow.keras.layers.Lambda,output_shape,Layer Dimension
keras.layers.Conv1D,0,Layer Dimension
keras.layers.Conv1D,0,Layer Dimension
keras.layers.Conv2D,0,Layer Dimension
keras.layers.Conv2D,0,Layer Dimension
keras.layers.Conv2DTranspose,0,Layer Dimension
keras.layers.Conv3D,0,Layer Dimension
keras.layers.Conv3D,0,Layer Dimension
keras.layers.Convolution2D,0,Layer Dimension
keras.layers.Convolution2D,0,Layer Dimension
keras.layers.convolutional.Conv2D,0,Layer Dimension
keras.layers.convolutional.Conv2D,0,Layer Dimension
keras.layers.convolutional.Convolution1D,0,Layer Dimension
keras.layers.convolutional.Convolution1D,1,Layer Dimension
keras.layers.convolutional.Convolution2D,0,Layer Dimension
keras.layers.convolutional.Convolution2D,0,Layer Dimension
keras.layers.Deconvolution2D,0,Layer Dimension
keras.layers.Deconvolution2D,3,Layer Dimension
keras.layers.SeparableConv2D,0,Layer Dimension
tensorflow.contrib.layers.conv2d,0,Layer Dimension
tensorflow.contrib.layers.conv2d,0,Layer Dimension
tensorflow.contrib.layers.conv2d,1,Layer Dimension
tensorflow.contrib.layers.conv2d,1,Layer Dimension
tensorflow.contrib.layers.convolution2d,0,Layer Dimension
tensorflow.contrib.layers.convolution2d_transpose,0,Layer Dimension
tensorflow.contrib.slim.conv2d,0,Layer Dimension
tensorflow.contrib.slim.conv2d,0,Layer Dimension
tensorflow.contrib.slim.conv2d,1,Layer Dimension
tensorflow.contrib.slim.conv2d,1,Layer Dimension
tensorflow.contrib.slim.conv2d_transpose,0,Layer Dimension
tensorflow.contrib.slim.conv2d_transpose,0,Layer Dimension
tensorflow.contrib.slim.conv2d_transpose,1,Layer Dimension
tensorflow.contrib.slim.conv2d_transpose,1,Layer Dimension
tensorflow.contrib.slim.layers.conv2d,0,Layer Dimension
tensorflow.contrib.slim.layers.conv2d,0,Layer Dimension
tensorflow.contrib.slim.layers.conv2d,1,Layer Dimension
tensorflow.contrib.slim.separable_conv2d,0,Layer Dimension
tensorflow.contrib.slim.separable_conv2d,1,Layer Dimension
tensorflow.keras.layers.Conv1D,0,Layer Dimension
tensorflow.keras.layers.Conv2D,0,Layer Dimension
tensorflow.keras.layers.Conv2D,0,Layer Dimension
tensorflow.keras.layers.Conv2DTranspose,0,Layer Dimension
tensorflow.layers.conv1d,0,Layer Dimension
tensorflow.layers.conv2d,0,Layer Dimension
tensorflow.layers.conv2d,0,Layer Dimension
tensorflow.layers.Conv2D,0,Layer Dimension
tensorflow.layers.conv2d,4,Layer Dimension
tensorflow.layers.conv2d_transpose,0,Layer Dimension
tensorflow.layers.conv2d_transpose,0,Layer Dimension
tensorflow.layers.conv2d_transpose,1,Layer Dimension
tensorflow.layers.conv2d_transpose,1,Layer Dimension
tensorflow.nn.atrous_conv2d,0,Layer Dimension
tensorflow.nn.atrous_conv2d,1,Layer Dimension
tensorflow.nn.conv1d,0,Layer Dimension
tensorflow.nn.conv1d,0,Layer Dimension
tensorflow.nn.conv1d,1,Layer Dimension
tensorflow.nn.conv1d,1,Layer Dimension
tensorflow.nn.conv2d,0,Layer Dimension
tensorflow.nn.conv2d,0,Layer Dimension
tensorflow.nn.conv2d,1,Layer Dimension
tensorflow.nn.conv2d,1,Layer Dimension
tensorflow.nn.conv2d_transpose,0,Layer Dimension
tensorflow.nn.conv2d_transpose,0,Layer Dimension
tensorflow.nn.conv2d_transpose,1,Layer Dimension
tensorflow.nn.conv2d_transpose,1,Layer Dimension
tensorflow.nn.conv2d_transpose,2,Layer Dimension
tensorflow.nn.conv2d_transpose,2,Layer Dimension
tensorflow.nn.conv3d,0,Layer Dimension
tensorflow.nn.conv3d,0,Layer Dimension
tensorflow.nn.conv3d,1,Layer Dimension
tensorflow.nn.conv3d,1,Layer Dimension
tensorflow.nn.convolution,0,Layer Dimension
tensorflow.nn.convolution,0,Layer Dimension
tensorflow.nn.convolution,1,Layer Dimension
tensorflow.nn.convolution,1,Layer Dimension
tensorflow.nn.depthwise_conv2d,0,Layer Dimension
tensorflow.nn.depthwise_conv2d,0,Layer Dimension
tensorflow.nn.depthwise_conv2d,1,Layer Dimension
tensorflow.nn.depthwise_conv2d,1,Layer Dimension
tensorflow.python.keras.layers.Conv2D,0,Layer Dimension
tensorflow.python.keras.layers.Conv2DTranspose,0,Layer Dimension
tensorflow.python.keras.layers.Conv2DTranspose,0,Layer Dimension
torch.nn.Conv1d,0,Layer Dimension
torch.nn.Conv1d,0,Layer Dimension
torch.nn.Conv1d,1,Layer Dimension
torch.nn.Conv1d,1,Layer Dimension
torch.nn.Conv2d,0,Layer Dimension
torch.nn.Conv2d,0,Layer Dimension
torch.nn.Conv2d,1,Layer Dimension
torch.nn.Conv2d,1,Layer Dimension
torch.nn.Conv2d,6,Layer Dimension
torch.nn.Conv3d,0,Layer Dimension
torch.nn.Conv3d,0,Layer Dimension
torch.nn.Conv3d,1,Layer Dimension
torch.nn.Conv3d,1,Layer Dimension
torch.nn.ConvTranspose2d,0,Layer Dimension
torch.nn.ConvTranspose2d,0,Layer Dimension
torch.nn.ConvTranspose2d,1,Layer Dimension
torch.nn.ConvTranspose2d,1,Layer Dimension
torch.nn.functional.conv_transpose2d,0,Layer Dimension
torch.nn.functional.conv_transpose2d,0,Layer Dimension
torch.nn.functional.conv_transpose2d,1,Layer Dimension
torch.nn.functional.conv_transpose2d,1,Layer Dimension
torch.nn.functional.conv1d,0,Layer Dimension
torch.nn.functional.conv1d,0,Layer Dimension
torch.nn.functional.conv1d,1,Layer Dimension
torch.nn.functional.conv1d,1,Layer Dimension
torch.nn.functional.conv2d,0,Layer Dimension
torch.nn.functional.conv2d,0,Layer Dimension
torch.nn.functional.conv2d,1,Layer Dimension
torch.nn.functional.conv2d,1,Layer Dimension
torch.nn.functional.conv2d,6,Layer Dimension
torch.nn.functional.conv3d,0,Layer Dimension
torch.nn.functional.conv3d,1,Layer Dimension
torch.nn.functional.conv3d,6,Layer Dimension
tensorflow.contrib.layers.max_pool2d,0,Layer Dimension
tensorflow.contrib.layers.max_pool2d,0,Layer Dimension
tensorflow.layers.max_pooling2d,0,Layer Dimension
tensorflow.layers.max_pooling2d,0,Layer Dimension
tensorflow.nn.avg_pool,0,Layer Dimension
tensorflow.nn.avg_pool,0,Layer Dimension
tensorflow.nn.max_pool,0,Layer Dimension
tensorflow.nn.max_pool,0,Layer Dimension
torch.nn.functional.avg_pool2d,0,Layer Dimension
torch.nn.functional.avg_pool2d,0,Layer Dimension
torch.nn.functional.max_pool1d,0,Layer Dimension
torch.nn.GRU,0,Layer Dimension
torch.nn.GRUCell,0,Layer Dimension
torch.nn.LSTM,0,Layer Dimension
torch.nn.LSTMCell,0,Layer Dimension
tensorflow.contrib.rnn.static_rnn,1,Layer Dimension
tensorflow.nn.dynamic_rnn,1,Layer Dimension
tensorflow.nn.rnn,1,Layer Dimension
tensorflow.contrib.rnn.static_bidirectional_rnn,2,Layer Dimension
tensorflow.nn.bidirectional_dynamic_rnn,2,Layer Dimension
*,output_shape,Layer Dimension
*,output_dim,Layer Dimension
*,target_shape,Layer Dimension
*,data_format,Layer Dimension
*,batch_shape,Layer Dimension
*,out_channels,Layer Dimension
*,in_channels,Layer Dimension
*,dim_ordering,Layer Dimension
*,input_shape,Layer Dimension
*,time_major,Layer Dimension
*,batch_first,Layer Dimension
*,batch_input_shape,Layer Dimension
*,input_size,Layer Dimension
*keras.*.Dense,units,Layer Dimension
*keras.*.Dense,0,Layer Dimension
*,input_length,Layer Dimension
*,input_dim,Layer Dimension
*,output_dim,Layer Dimension
torch.nn.*BatchNorm*,0,Layer Dimension
torch.nn.*BatchNorm*,num_features,Layer Dimension
torch.nn.Conv*,1,Layer Dimension
torch.nn.Conv*,0,Layer Dimension
torch.nn.GRU,0,Layer Dimension
torch.nn.GRUCell,0,Layer Dimension
torch.nn.LSTM,0,Layer Dimension
torch.nn.LSTMCell,0,Layer Dimension
torch.nn.RNN,0,Layer Dimension
torch.nn.RNNCell,0,Layer Dimension
keras.layers.Conv2D,kernel_regularizer,Kernel Regularizer
keras.layers.Conv2D,kernel_regularizer,Kernel Regularizer
keras.layers.Conv2D,kernel_regularizer,Kernel Regularizer
keras.layers.core.Dense,kernel_regularizer,Kernel Regularizer
keras.layers.Dense,kernel_regularizer,Kernel Regularizer
keras.regularizers.l1,0,Kernel Regularizer
keras.regularizers.l2,0,Kernel Regularizer
tensorflow.contrib.layers.l2_regularizer,0,Kernel Regularizer
